2024-05-03 10:41:58 INFO     Starting import
2024-05-03 10:42:02 INFO     <requests.sessions.Session object at 0x101e18fd0>
2024-05-03 10:42:03 INFO     Fetching results between 2024-04-30 and 2024-05-02
2024-05-03 10:42:05 ERROR    Something went wrong with calling the url! https://mans.elektrum.lv/lv/majai/mani-parskati/viedo-skaititaju-paterinu-parskats/consumption.json?step=D&fromDate=2024-4-30 Expecting value: line 1 column 1 (char 0)
2024-05-03 10:42:05 ERROR    Failed to fetch results 2024/4/30
2024-05-03 10:42:05 ERROR    Failed to fetch results 2024/4/30
2024-05-03 10:42:08 ERROR    Something went wrong with calling the url! https://mans.elektrum.lv/lv/majai/mani-parskati/viedo-skaititaju-paterinu-parskats/consumption.json?step=D&fromDate=2024-5-1 Expecting value: line 1 column 1 (char 0)
2024-05-03 10:42:08 ERROR    Failed to fetch results 2024/5/1
2024-05-03 10:42:08 ERROR    Failed to fetch results 2024/5/1
2024-05-03 10:42:10 ERROR    Something went wrong with calling the url! https://mans.elektrum.lv/lv/majai/mani-parskati/viedo-skaititaju-paterinu-parskats/consumption.json?step=D&fromDate=2024-5-2 Expecting value: line 1 column 1 (char 0)
2024-05-03 10:42:10 ERROR    Failed to fetch results 2024/5/2
2024-05-03 10:42:10 ERROR    Failed to fetch results 2024/5/2
2024-05-03 10:42:10 INFO     Nothing to import
2024-05-03 10:42:10 INFO     Updating price info
2024-05-03 10:42:10 INFO     Price info: 0 rows updated with [COMMIT]
2024-05-03 10:42:10 INFO     Import done!
2024-05-03 10:42:10 INFO     127.0.0.1 - - [03/May/2024 10:42:10] "GET /elektrum-fetch/ HTTP/1.1" 200 -
